0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
|__STATES,|__DISTRICTS,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_HEARD_OF_RTISTI,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_HEARD_OF_HIVAIDS,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_HAVE_ANY_SYMPTOMS_OF_RTISTI,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_WHO_KNOW_THE_PLACE_TO_GO_FOR_TESTING_OF_HIVAIDS12,|__AWARENESS_OF_RTISTI_AND_HIVAIDS_percent_-_WOMEN_UNDERWENT_TEST_FOR_DETECTING_HIVAIDS12,|__CHARACTERISTICS_OF_WOMEN_percent_-_CURRENTLY_MARRIED_WOMEN_WHO_ARE_ILLITERATE,|__CHARACTERISTICS_OF_WOMEN_percent_-_CURRENTLY_MARRIED_WOMEN_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,|__MARRIAGE_-_MEAN_AGE_AT_MARRIAGE_FOR_GIRLS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_MEAN_AGE_AT_MARRIAGE_FOR_BOYS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_PERCENTAGE_OF_CURRENTLY_MARRIED_WOMEN_MARRIED_BELOW_AGE_18_YEARS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__MARRIAGE_-_PERCENTAGE_OF_CURRENTLY_MARRIED_MEN_MARRIED_BELOW_AGE_21_YEARS_MARRIAGES_THAT_OCCURRED_DURING_THE_REFERENCE_PERIOD,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_ANTENATAL_CARE,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_PREGNANCY_COMPLICATIONS,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_POST-DELIVERY_COMPLICATIONS,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_CHILDREN_WITH_DIARRHOEA13,|__UTILIZATION_OF_GOVERNMENT_HEALTH_SERVICES_percent_-_TREATMENT_FOR_CHILDREN_WITH_ARI13,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_LIVE_BIRTH,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_STILL_BIRTH,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_INDUCED_ABORTION,|__PERCENTAGE_OF_PREGNANCY_RESULTED_IN_-_SPONTANEOUS_ABORTION,|__PERCENTAGE_OF_HOUSEHOLDS_-_HAVING_ELECTRICITY,|__PERCENTAGE_OF_HOUSEHOLDS_-_IMPROVED_SOURCE_OF_DRINKING_WATER1,|__PERCENTAGE_OF_HOUSEHOLDS_-_HAVING_ACCESS_TO_IMPROVED_TOILET_FACILITY,|__PERCENTAGE_OF_HOUSEHOLDS_-_USE_CLEAN_FUEL_FOR_COOKING2
Haryana,Rohtak,21.7,55.1,9.8,57.3,7.8,22.6,50,20.9,24.3,4.5,11.7,71,40.3,55,50,73.7,88.5,2.1,1.6,7.8,98.4,96.5,86.5,47
Haryana,Jhajjar,45.9,62.9,29,40.6,15.6,22.9,50.4,20.9,24.4,4.5,13.3,71.5,54.8,51.7,50,60,90.6,1.7,1.9,5.8,99.4,97.4,84,44.2
Haryana,Mahendragarh,21.8,44.7,5.6,53.5,11.4,28.1,41.3,20.7,24,5.8,17,76.9,48.8,17.6,16.7,20,86.4,1,2.4,10.3,96.7,98.9,77.3,37.8
Haryana,Rewari,26.2,57.6,12.5,16.4,4.4,29,39.8,21.3,24.1,3.2,13.2,70.9,35.9,28.6,60,33.3,94.8,1,0.5,3.6,98.4,99.3,90.6,67.3
Haryana,Gurgaon,36.8,55.1,14.4,47.9,15.6,23.2,53.9,20.5,24,7.8,16.5,0,41.7,60,66.7,38.5,97.5,1.4,0.2,0.9,99.1,99.5,93.4,72.9
Haryana,Faridabad,33.5,52.6,10,45.7,15.4,37.2,41.6,20.4,23.5,11.4,24.3,59.9,40.7,12.5,50,0,97.6,0.5,0.8,1.1,99.6,99.7,93.6,62
Haryana,Mewat,17,28.5,8.3,24.2,4.9,59.5,19.5,19.7,21.7,10.6,37.2,73.8,46,35.5,33.3,20,94.4,1.4,0,4.3,98.9,99.3,70.6,43.1
Haryana,Palwal,16,35,6,19.4,5.8,49.2,29.1,20.8,22.8,7.8,25.3,53,18.2,41.7,11.1,16.7,95.1,1.3,0.6,2.9,97.5,98.9,79.9,51.7
Himachal Pradesh,Chamba,27.6,72.6,14.3,40.8,23.2,13.3,47.5,22.6,26.6,0,1.2,92.7,100,100,100,71.4,100,0,0,0,99.3,97.5,86.1,43.5
Himachal Pradesh,Kangra,21,69.6,13,31.6,23.3,8.4,62.3,22.1,27.4,0,0,90.1,92.1,76.5,83.3,71.4,99.3,0.7,0,0,100,98.5,72.7,31.3
Himachal Pradesh,Lahul & Spiti,63.3,89.2,11,75.6,53.8,18.9,50,23.1,25.5,0,5.4,96.7,100,100,0,0,100,0,0,0,99.8,62.1,89.2,36.7
Himachal Pradesh,Kullu,46.7,80.5,11.3,64.1,35.4,19.8,46.9,21.2,24.7,3.6,8.2,92.9,95.2,100,100,80,96.7,0.8,0,2.4,99.8,98.5,89.6,29.4
Himachal Pradesh,Mandi,23.4,71.3,12.7,46.9,19.8,11.2,55.5,20.3,26.4,0,2.4,96.7,94.4,100,100,100,97.5,0,1.6,0.8,99.7,99.7,92.3,40
Himachal Pradesh,Hamirpur,22.2,77.6,25,58.3,31.4,1.5,66.4,21.3,27.3,0,0.8,94.4,95.2,96.8,90,92.8,96.7,0.5,1.4,1.4,99.7,98.8,97.1,28.5
Himachal Pradesh,Una,30.5,86.6,17.6,68.3,53.7,5,44.2,22.7,27,0,0,78.7,69.7,67.4,66.7,42.8,95,0.9,1.8,2.4,100,97.8,81.8,20.7
Himachal Pradesh,Bilaspur,21.9,75,17.8,66.5,42.8,7.7,59.6,23.2,27,0,1,92,86.2,83.3,83.3,100,99.2,0,0,0.8,100,98.1,93.6,27.5
Himachal Pradesh,Solan,16,69.2,16,58.6,40.5,11.2,53.1,23.1,24.9,0,3.8,90.1,79.2,83.3,100,66.7,98.9,0.5,0,0.5,99.1,98.5,92.5,45.3
Himachal Pradesh,Sirmaur,18.2,55.6,17,40.5,28.6,26.5,32.9,23.3,24.2,0,8.9,88.8,87.2,84.6,100,80,98.1,1.1,0,0.7,99.8,98,78.6,34.8
Himachal Pradesh,Shimla,20.1,77.7,5.3,62.7,36.9,15.3,52.3,22.8,26.6,2.8,2.4,87.8,100,100,0,80,98.3,0,0.8,0.8,99.9,99.2,85.1,51.9
Himachal Pradesh,Kinnaur,39.2,68.2,20.3,60.1,42.7,21.6,43.8,21.9,27.1,0,4.6,93.9,90,85.7,80,0,96.1,0,2,2,99.8,96.2,82.6,22.3
Karnataka,Belgaum,16.4,69.9,14.7,69.4,57.2,28.4,35.9,19.6,25.6,27,7.4,55.5,33.7,42.6,19.2,18.9,95.7,1.1,0.8,2.4,94.6,98.6,42.2,39.3
Karnataka,Bagalkot,12.3,66.5,2,74.5,47.9,38.5,26.3,19.1,25.1,25.2,10.1,54.4,18.5,20.8,15.4,21.1,94.5,1.8,0.7,3,94.3,98.5,26.7,24.3
Karnataka,Bijapur,17.2,52.4,13.6,66.2,54.9,42.2,28.2,19.5,24.6,24.2,11.8,45.9,33.7,38.5,28.1,28.3,98.3,0.9,0.8,0.1,89.2,96.5,21.1,27.4
Karnataka,Gulbarga,17,55.6,4.9,69.6,55,51.5,24.2,18.9,24.7,28.8,13,55.2,28.1,42.3,14.9,17.1,94.3,1,0.7,4,95.2,86.3,26.5,22.6
Karnataka,Bidar,15.5,54.3,4.4,65.3,52.3,39.3,34.7,19.7,25.3,17.3,9.3,72.2,41,63.6,44.4,25,95.4,0.7,0.6,3.5,96.1,95.7,35.8,28
Karnataka,Raichur,8.1,52,7.6,73.8,49.4,60.3,19.1,19.5,23.9,22.3,14.8,65.4,33.3,46.4,53.3,28.6,97.3,0.8,0.9,1,94.7,89.3,22.3,20.8
Karnataka,Koppal,8.5,37,7.9,55.8,37.8,44.4,23.4,19.8,25.7,14.1,9.9,68.5,43.4,45.8,37,16.7,93.8,2.2,0.3,3.7,95.5,98.9,40.2,27.2
Karnataka,Gadag,27.4,85,5.8,65,42.6,31.6,24.9,19.3,26.1,18.4,6.7,69.2,47.2,50,32.5,32.4,93.7,1.8,1.6,2.9,98.2,91.6,26.2,23.7
Karnataka,Dharwad,51.5,78.5,19.3,88.1,60.1,31.3,29.4,20.2,26.3,13.1,3,69.9,66.4,55.6,53.8,44.8,94.5,1,1.3,3.1,95.7,91.7,53.8,38.8
Karnataka,Uttara kannada,52.8,84.9,11.5,86.4,49.8,19.6,33.3,22.5,29,5.3,2.4,71,55.6,60.3,35.5,42.3,94.8,0.3,1.5,3.4,94.4,61.3,63.6,37.1
Karnataka,Haveri,23.5,67,9.5,74.6,51.2,30.1,30.8,20.4,26.7,10.5,3.4,73.5,59.5,47,36.4,21.6,94.7,1.8,0.9,2.6,95.1,95.4,49.9,27.1
Karnataka,Bellary,17.7,67.2,5.6,69,60.1,47.9,23.1,19.4,24.4,20.9,10.2,71.2,57.3,31.8,63.2,27.3,92,0.7,1.5,5.8,97.8,90.7,44.6,38.2
Karnataka,Chitradurga,20.2,62,7.8,66.8,41.1,30.4,37.5,20.9,26.4,9.9,8.4,69.3,54.2,62.5,44.4,50,96.1,0.8,0.3,2.9,95,98.9,44.6,38.6
